City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Avera,US,33.194,-82.5271,79.45,78,97,7.78,overcast clouds
312,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,77,74,22.37,broken clouds
313,Beyneu,KZ,45.3167,55.2,44.46,45,0,10.07,clear sky
314,Biak,ID,-0.9131,122.8766,75.92,82,94,4.99,overcast clouds
315,Srednekolymsk,RU,67.45,153.6833,10.11,91,47,3.22,scattered clouds
316,Herndon,US,38.9696,-77.3861,76.96,75,75,1.01,broken clouds
317,Kedougou,SN,12.5579,-12.1743,82.98,74,0,4.61,light rain
318,Hasaki,JP,35.7333,140.8333,70.29,80,96,16.28,overcast clouds
319,Dudinka,RU,69.4058,86.1778,37.22,89,100,13.62,light rain
320,Huarmey,PE,-10.0681,-78.1522,69.37,74,51,12.46,broken clouds
321,Codrington,AU,-38.2667,141.9667,42.98,95,99,9.06,overcast clouds
322,Paamiut,GL,61.994,-49.6678,36.48,63,3,11.45,clear sky
323,Qaqortoq,GL,60.7167,-46.0333,48.7,47,7,6.06,clear sky
324,Beba,CU,22.4437,-79.7253,88.07,61,69,13.69,broken clouds
325,Mazatlan,MX,23.2167,-106.4167,90.91,75,40,4.0,scattered clouds
326,Mokhotlong,LS,-29.2894,29.0675,61.68,44,82,7.87,broken clouds
327,Ilulissat,GL,69.2167,-51.1,28.42,46,20,3.44,few clouds
328,Morwa,IN,22.9,73.8333,81.61,67,7,2.57,clear sky
329,Sirjan,IR,29.452,55.6814,74.21,15,0,4.07,clear sky
330,Valley,US,45.1277,-116.1262,38.01,88,100,3.58,overcast clouds
331,Korla,CN,41.7597,86.1469,45.23,65,100,20.15,overcast clouds
332,Kuching,MY,1.55,110.3333,80.82,89,20,2.3,few clouds
333,Cidreira,BR,-30.1811,-50.2056,63.03,54,37,11.39,scattered clouds
334,Matamoros,MX,25.5333,-103.25,78.91,34,1,8.05,clear sky
335,Erzin,TR,36.9559,36.2,76.01,29,0,4.83,clear sky
336,Port Hardy,CA,50.6996,-127.4199,44.6,93,90,5.75,overcast clouds
337,Tautira,PF,-17.7333,-149.15,78.82,77,14,5.79,few clouds
338,Pangai,TO,-19.8,-174.35,71.71,88,75,5.75,moderate rain
339,Trenggalek,ID,-8.05,111.7167,72.37,91,72,1.99,broken clouds
