City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Bourail,NC,2021-10-04 15:19:02,-21.5667,165.4833,70.79,85,0,3.13
175,Zhenlai,CN,2021-10-04 15:18:39,45.8495,123.2973,48.94,52,100,5.5
176,Magdagachi,RU,2021-10-04 15:19:02,53.45,125.8,30.47,79,32,3.67
177,Tucuman,AR,2021-10-04 15:19:02,-26.8241,-65.2226,66.2,42,2,6.91
178,Cervo,ES,2021-10-04 15:19:03,43.6702,-7.4101,65.97,66,83,12.33
179,Dukat,RU,2021-10-04 15:19:03,62.55,155.55,16.9,94,100,6.38
180,Ostrovnoy,RU,2021-10-04 15:19:03,68.0531,39.5131,47.61,76,97,31.52
181,Koungheul,SN,2021-10-04 15:19:04,13.9833,-14.8,94.98,48,96,3.71
182,Ambovombe,MG,2021-10-04 15:19:04,-25.1667,46.0833,72.09,89,90,11.48
183,Gayeri,BF,2021-10-04 15:19:04,12.6497,0.4931,95.38,33,60,7.87
184,Ishigaki,JP,2021-10-04 15:19:05,24.3448,124.1572,82.78,66,0,21.81
185,Thaton,MM,2021-10-04 15:19:05,16.9206,97.3714,78.98,87,28,3.22
186,Saint-Pierre,RE,2021-10-04 15:19:06,-21.3393,55.4781,73.29,77,90,9.22
187,Fairbanks,US,2021-10-04 15:19:06,64.8378,-147.7164,31.6,95,90,0.0
188,Salalah,OM,2021-10-04 15:19:06,17.0151,54.0924,80.69,89,75,10.36
189,Peace River,CA,2021-10-04 15:15:36,56.2501,-117.286,36.66,75,75,6.91
190,Katsuura,JP,2021-10-04 15:19:07,35.1333,140.3,76.1,75,21,12.8
191,Bakaly,RU,2021-10-04 15:19:07,55.1789,53.8028,36.93,57,9,6.53
192,Aktash,RU,2021-10-04 15:19:07,50.3,87.7333,17.38,75,75,4.29
193,Touros,BR,2021-10-04 15:19:08,-5.1989,-35.4608,88.7,55,2,17.43
194,Saint Anthony,US,2021-10-04 15:14:13,45.0205,-93.218,59.25,93,90,4.61
195,Malpe,IN,2021-10-04 15:19:08,13.35,74.7167,78.1,87,93,3.0
196,Perepravnaya,RU,2021-10-04 15:19:09,44.3366,40.7849,47.3,93,100,9.71
197,Yulara,AU,2021-10-04 15:19:09,-25.2406,130.9889,64.24,25,0,6.91
198,Naze,JP,2021-10-04 15:19:09,28.3667,129.4833,76.96,78,19,19.93
199,Vostok,RU,2021-10-04 15:19:09,46.4856,135.8833,37.42,86,100,2.98
200,Ostrov,RU,2021-10-04 15:19:10,57.3439,28.3537,56.93,59,0,10.6
201,Brus Laguna,HN,2021-10-04 15:19:10,15.75,-84.4833,81.7,83,82,2.48
202,Panama City,PA,2021-10-04 15:15:07,8.9936,-79.5197,88.18,69,20,1.99
203,Bayangol,RU,2021-10-04 15:19:11,50.6977,103.4656,26.44,76,11,1.59
204,Acapulco,MX,2021-10-04 15:19:11,16.8634,-99.8901,80.42,78,75,4.61
205,Poum,NC,2021-10-04 15:19:11,-20.2333,164.0167,74.82,81,0,4.85
206,Port Moresby,PG,2021-10-04 15:19:12,-9.4431,147.1797,75.69,91,36,8.55
207,Dzhebariki-Khaya,RU,2021-10-04 15:19:12,62.2167,135.8,27.52,84,22,2.37
208,Antalaha,MG,2021-10-04 15:19:12,-14.9003,50.2788,72.75,85,51,8.43
209,Kununurra,AU,2021-10-04 15:19:12,-15.7667,128.7333,76.98,65,32,8.05
210,Babstovo,RU,2021-10-04 15:19:13,48.1167,132.4833,38.03,71,0,5.84
211,Deputatskiy,RU,2021-10-04 15:19:13,69.3,139.9,16.47,86,100,8.08
212,Mawlaik,MM,2021-10-04 15:19:13,23.6333,94.4167,76.84,95,92,0.83
213,Kidal,ML,2021-10-04 15:19:14,18.4411,1.4078,101.21,9,6,14.2
214,Nyurba,RU,2021-10-04 15:19:14,63.2842,118.3319,34.77,77,100,6.93
215,Gizo,SB,2021-10-04 15:19:14,-8.103,156.8419,81.37,81,91,9.82
216,Nanortalik,GL,2021-10-04 15:19:15,60.1432,-45.2371,39.15,81,12,10.98
217,Buin,CL,2021-10-04 15:19:15,-33.7333,-70.75,75.06,22,0,3.22
218,Taltal,CL,2021-10-04 15:19:15,-25.4,-70.4833,62.96,65,0,6.33
219,San Andres,CO,2021-10-04 15:15:38,12.5847,-81.7006,86.02,79,75,8.05
220,Ikom,NG,2021-10-04 15:19:16,5.9667,8.7063,84.16,75,58,5.88
221,Tessalit,ML,2021-10-04 15:19:16,20.1986,1.0114,101.08,7,2,11.9
222,Alyangula,AU,2021-10-04 15:19:17,-13.8483,136.4192,79.36,80,48,11.54
223,Cap-Aux-Meules,CA,2021-10-04 15:17:00,47.3821,-61.8597,53.65,66,40,20.71
224,Honningsvag,NO,2021-10-04 15:19:17,70.9821,25.9704,56.73,76,75,19.57
225,Serov,RU,2021-10-04 15:19:17,59.6033,60.5787,30.0,75,11,2.3
226,Bengkulu,ID,2021-10-04 15:19:18,-3.8004,102.2655,77.14,89,96,6.08
227,Hasaki,JP,2021-10-04 15:19:18,35.7333,140.8333,70.09,78,9,14.16
228,Marystown,CA,2021-10-04 15:19:18,47.1666,-55.1483,56.86,100,100,7.0
229,Opuwo,NA,2021-10-04 15:19:19,-18.0607,13.84,89.64,14,8,18.37
230,Lagoa,PT,2021-10-04 15:19:19,39.05,-27.9833,70.95,84,100,9.17
231,Ranot,TH,2021-10-04 15:19:20,7.7777,100.3213,78.84,85,99,11.5
232,Matamoros,MX,2021-10-04 15:19:20,25.5333,-103.25,69.91,83,75,0.0
233,Mar Del Plata,AR,2021-10-04 15:19:10,-38.0023,-57.5575,64.42,62,20,8.99
234,Yinchuan,CN,2021-10-04 15:19:20,38.4681,106.2731,52.92,46,100,3.31
235,Sabang,ID,2021-10-04 15:19:21,5.8933,95.3214,82.96,72,46,17.69
236,Maragogi,BR,2021-10-04 15:19:21,-9.0122,-35.2225,81.73,63,15,12.17
237,Youkounkoun,GN,2021-10-04 15:19:21,12.5333,-13.1333,92.32,53,90,2.68
238,Hami,CN,2021-10-04 15:19:22,42.8,93.45,58.71,15,99,4.99
239,San Vicente,AR,2021-10-04 15:19:22,-26.6167,-54.1333,57.45,92,100,4.59
240,College,US,2021-10-04 15:19:22,64.8569,-147.8028,31.59,95,90,0.0
241,Ayr,GB,2021-10-04 15:19:23,55.4627,-4.6339,57.2,82,85,12.73
242,Roma,US,2021-10-04 15:15:43,43.2128,-75.4557,65.12,96,90,8.05
243,Hudson Bay,CA,2021-10-04 15:19:23,52.85,-102.3842,51.69,44,16,6.89
244,Alto Araguaia,BR,2021-10-04 15:19:24,-17.3147,-53.2153,92.46,30,99,7.63
245,Vyartsilya,RU,2021-10-04 15:19:24,62.1764,30.693,47.41,80,7,12.01
246,Lebu,CL,2021-10-04 15:19:24,-37.6167,-73.65,52.72,64,1,20.24
247,Warrington,GB,2021-10-04 15:18:25,53.3925,-2.5802,58.44,77,75,1.99
248,Campoverde,PE,2021-10-04 15:19:25,-8.4753,-74.8058,85.69,44,95,0.78
